bill_id,bill_type,bill_number,congress,title,status
hconres215-110,hconres,215,110,"Supporting the designation of a week as ""National Cardiopulmonary Resuscitation and Automated External Defibrillator Awareness Week"".",out_of_committee
hr2607-110,hr,2607,110,Internet Gambling Regulation and Tax Enforcement Act of 2007,in_committee
hr5445-110,hr,5445,110,"To amend part B of title XVIII of the Social Security Act to increase Medicare payments for physicians' services through December 31, 2009.",in_committee
hr3920-110,hr,3920,110,Trade and Globalization Assistance Act of 2007,out_of_committee
hr5994-110,hr,5994,110,Internet Freedom and Nondiscrimination Act of 2008,in_committee
hr5162-110,hr,5162,110,To suspend temporarily the duty on a certain chemical used in the production of textiles.,in_committee
hr6537-110,hr,6537,110,Sanctuary Enhancement Act of 2008,in_committee
hr720-110,hr,720,110,Water Quality Financing Act of 2007,out_of_committee
hr1456-110,hr,1456,110,American-Owned Property in Occupied Cyprus Claims Act,in_committee
hr698-110,hr,698,110,Industrial Bank Holding Company Act of 2007,out_of_committee
hr7033-110,hr,7033,110,Fairness and Accuracy in Employment Background Checks Act of 2008,in_committee
hr4722-110,hr,4722,110,To extend the temporary suspension of duty on Permethrin.,in_committee
hr4990-110,hr,4990,110,Vaccines for Children Access Act of 2008,in_committee
hr3893-110,hr,3893,110,Connect America Now Act,in_committee
hr3800-110,hr,3800,110,Promoting Health Information Technology Act,in_committee
hr1850-110,hr,1850,110,Housing America's Workforce Act,in_committee
hr5517-110,hr,5517,110,"To designate the facility of the United States Postal Service located at 7231 FM 1960 in Humble, Texas, as the ""Texas Military Veterans Post Office"".",passed
hr6063-110,hr,6063,110,National Aeronautics and Space Administration Authorization Act of 2008,passed
hr4365-110,hr,4365,110,To extend the suspension of duty on DEMBB.,in_committee
hr4703-110,hr,4703,110,Vaccine Shortage Preparedness Act of 2008,in_committee
hr1333-110,hr,1333,110,Civil Air Patrol Homeland Security Support Act of 2007,out_of_committee
hr5681-110,hr,5681,110,Innovation Tax Credit Act of 2008,in_committee
hr6756-110,hr,6756,110,Carbon Reduction Technology Bridge Act of 2008,in_committee
hr5109-110,hr,5109,110,Economic Growth Act of 2008,in_committee
hr2312-110,hr,2312,110,To make permanent the individual income tax rates for capital gains and dividends.,in_committee
hr442-110,hr,442,110,"To authorize the Secretary of the Interior to study the suitability and feasibility of designating the Wolf House, located in Norfolk, Arkansas, as a unit of the National Park System, and for other purposes.",in_committee
hr1733-110,hr,1733,110,Appropriations Transparency Act of 2007,in_committee
hr4971-110,hr,4971,110,"To suspend temporarily the duty on Cobaltate(2-), Y6-amino-.kappa.N)-5-YY2hydroxy-.kappa.O)-4-nitrophenyl?azo- kappa.N1?-N-methyl-2-naphthalenesulfonamidato(2-)?Y6-(amino- kappa.N)-5-YY2-(hydroxy-.kappa.O)-4-nitrophenyl?azo-.kappa.N ?-2-napthalenessulfonato(3-)?-,disodium.",in_committee
hr1663-110,hr,1663,110,Medicare Mental Health Modernization Act of 2007,in_committee
hr6843-110,hr,6843,110,Officer Andrew Widman Criminal Alien Enforcement Act of 2008,in_committee
hr4786-110,hr,4786,110,To suspend temporarily the duty on Cyazofamid.,in_committee
hr3427-110,hr,3427,110,To prohibit the revocation of waivers of the competitive need limitation under the Generalized System of Preferences program unless certain conditions are met.,in_committee
hr4564-110,hr,4564,110,"To extend the temporary suspension of duty on Ethene, tetrafluoro, oxidized, polymerized, reduced, decarboxylated.",in_committee
hr7139-110,hr,7139,110,To amend titles XVIII and XIX of the Social Security Act with respect to the qualification of the director of food services of a Medicare skilled nursing facility or a Medicaid nursing facility.,in_committee
hr2104-110,hr,2104,110,Public Prayer Protection Act of 2007,in_committee
hr1410-110,hr,1410,110,Emergency Child Care for the Gulf Coast Region Act of 2007,in_committee
hr5838-110,hr,5838,110,Teaching and Research Assistant Collective Bargaining Rights Act,in_committee
hr3547-110,hr,3547,110,"Gang Prevention, Intervention, and Suppression Act",in_committee
hr4524-110,hr,4524,110,To suspend temporarily the duty on certain cathode ray tubes.,in_committee
hr4822-110,hr,4822,110,To extend and modify the temporary suspension of duty on Carfentrazone.,in_committee
hr6434-110,hr,6434,110,Clean Cruise Ship Act of 2008,in_committee
hr2989-110,hr,2989,110,"To amend provisions of title 46, United States Code, popularly known as the Death on the High Seas Act to limit application of those provisions to maritime accidents, and for other purposes.",in_committee
hr3644-110,hr,3644,110,Commission on Natural Catastrophe Risk Management and Insurance Act of 2007,in_committee
hr2095-110,hr,2095,110,Clean Railroads Act of 2008,passed
hr4042-110,hr,4042,110,"Family Farm, Small Business, and Home Tax Relief Act",in_committee
hr3334-110,hr,3334,110,SMA Treatment Acceleration Act,in_committee
hr5818-110,hr,5818,110,Neighborhood Stabilization Act of 2008,out_of_committee
hr3685-110,hr,3685,110,Employment Non-Discrimination Act of 2007,out_of_committee
hr5788-110,hr,5788,110,Halting Airplane Noise to Give Us Peace Act of 2008,out_of_committee
hr4896-110,hr,4896,110,Social Security Trust Funds Investment Act of 2007,in_committee
hr162-110,hr,162,110,Jean Lafitte National Historical Park and Preserve Boundary Adjustment Act of 2007,out_of_committee
hr5080-110,hr,5080,110,To extend the suspension of duty on Desmodur HL BA.,in_committee
hr2608-110,hr,2608,110,SSI Extension for Elderly and Disabled Refugees Act,passed
hr5125-110,hr,5125,110,To amend title XVIII of the Social Security Act to provide for a Medicare Advantage benchmark adjustment for certain local areas with VA medical centers and for certain contiguous areas.,in_committee
hr2124-110,hr,2124,110,Federal Agency Data Breach Protection Act,in_committee
hr1592-110,hr,1592,110,Local Law Enforcement Hate Crimes Prevention Act of 2007,out_of_committee
hr4048-110,hr,4048,110,Gulf Coast Civic Works Act,in_committee
hr4538-110,hr,4538,110,"To suspend temporarily the duty on Y3-4,5-dihydro-isoxazol-3-yl)-4-methylsulfonyl-2-methylpheny l?(5-hydroxy-1-methyl-1H-pyrazole-4-yl) methanone.",in_committee
hr4158-110,hr,4158,110,National Urban Search and Rescue Response System Act of 2007,in_committee
hr2917-110,hr,2917,110,Transition Education Accountability Report Act of 2007,in_committee
hr370-110,hr,370,110,Coal-to-Liquid Fuel Promotion Act of 2007,in_committee
hr7192-110,hr,7192,110,Preserving Patient Access to Primary Care Act,in_committee
hr5083-110,hr,5083,110,To extend the suspension of duty on Desmodur E 14.,in_committee
hr2728-110,hr,2728,110,"To designate the station of the United States Border Patrol located at 25762 Madison Avenue in Murrieta, California, as the ""Theodore L. Newton, Jr. and George F. Azrak Border Patrol Station"".",passed
hr4241-110,hr,4241,110,Notify Americans Before Outsourcing Personal Information Act,in_committee
hr936-110,hr,936,110,Prevention of Fraudulent Access to Phone Records Act,in_committee
hr2808-110,hr,2808,110,Living Organ Donor Job Security Act,in_committee
hr1453-110,hr,1453,110,Scientific Communications Act of 2007,in_committee
hr866-110,hr,866,110,Secret Ballot Protection Act,in_committee
hr1867-110,hr,1867,110,National Science Foundation Authorization Act of 2007,out_of_committee
hr3001-110,hr,3001,110,CLASS Act,in_committee
hr2593-110,hr,2593,110,Borderlands Conservation and Security Act of 2007,in_committee
hr655-107,hr,655,107,Commission to Study the Culture of Violence in America Act,in_committee
hr2950-107,hr,2950,107,Rail Infrastructure Development and Expansion Act for the 21st Century,in_committee
hr3792-107,hr,3792,107,Clean Water Infrastructure and Security Improvement Act of 2002,in_committee
hr2901-107,hr,2901,107,United States Cruise Vessel Act,in_committee
hr3930-107,hr,3930,107,Water Quality Financing Act of 2002,out_of_committee
hr3108-108,hr,3108,108,Pension Funding Equity Act of 2004,passed
s14-108,s,14,108,Energy Policy Act of 2003,out_of_committee
hres912-109,hres,912,109,Supporting the goals and ideals of National Life Insurance Awareness Month.,passed
sres448-109,sres,448,109,"A resolution supporting the goals and ideals of ""National Life Insurance Awareness Month"".",passed
hr6111-109,hr,6111,109,Tax Relief and Health Care Act of 2006,passed
hr3849-109,hr,3849,109,PIC and POPs Conventions and the LRTAP POPs Protocol Implementation Act,out_of_committee
hr4-109,hr,4,109,Pension Protection Act of 2006,passed
hr5672-109,hr,5672,109,"Departments of Commerce and Justice, Science, and Related Agencies Appropriations Act, 2007",out_of_committee
hr37-109,hr,37,109,Health Insurance Affordability Act of 2005,in_committee
hr2088-109,hr,2088,109,Veterans' Heritage Firearms Act of 2005,in_committee
hr741-109,hr,741,109,Occupational Safety and Health Independent Review of OSHA Citations Act of 2005,out_of_committee
hr2830-109,hr,2830,109,Pension Security and Transparency Act of 2005,out_of_committee
